"Items","Size","Frequency","Support","Score"
"spaghetti, green tea, frozen vegetables",3,32,0.004266097853619517,1.9456532150063364
"mineral water, green tea, frozen vegetables",3,34,0.004532728969470737,1.509975974537566
"eggs, ground beef, frozen vegetables",3,33,0.004399413411545127,2.6138992788955147
"chocolate, ground beef, frozen vegetables",3,43,0.005732568990801226,3.7357806988164706
"milk, ground beef, frozen vegetables",3,43,0.005732568990801226,4.723533414450044
"spaghetti, ground beef, frozen vegetables",3,65,0.008665511265164644,5.314164342123183
"mineral water, ground beef, frozen vegetables",3,69,0.009198773496867084,4.120466404457826
"mineral water, spaghetti, ground beef, frozen vegetables",4,33,0.004399413411545127,11.318456738072433
"eggs, french fries, frozen vegetables",3,39,0.005199306759098787,1.7759019281731616
"spaghetti, french fries, frozen vegetables",3,40,0.005332622317024397,1.8800139782286267
"french fries, chocolate, frozen vegetables",3,42,0.005599253432875617,2.0976917561797523
"french fries, milk, frozen vegetables",3,43,0.005732568990801226,2.7154790377922637
"mineral water, french fries, frozen vegetables",3,46,0.0061325156645780565,1.5791907124729165
"eggs, chocolate, frozen vegetables",3,43,0.005732568990801226,2.042485441415236
"eggs, spaghetti, frozen vegetables",3,43,0.005732568990801226,1.9220632522965737
"eggs, milk, frozen vegetables",3,55,0.007332355685908546,3.303230055805888
"mineral water, eggs, frozen vegetables",3,68,0.009065457938941474,2.220157553066361
"spaghetti, chocolate, frozen vegetables",3,59,0.007865617917610986,2.892605721831913
"chocolate, milk, frozen vegetables",3,60,0.007998933475536596,3.952440963289892
"mineral water, chocolate, frozen vegetables",3,73,0.009732035728569524,2.6141815901491197
"mineral water, spaghetti, chocolate, frozen vegetables",4,31,0.0041327822956939075,6.376033264165024
"spaghetti, milk, frozen vegetables",3,62,0.008265564591387815,3.8433907161914656
"mineral water, milk, frozen vegetables",3,83,0.011065191307825623,3.7581715635935127
"mineral water, spaghetti, milk, frozen vegetables",4,34,0.004532728969470737,8.842059139001716
"mineral water, spaghetti, frozen vegetables",3,90,0.011998400213304892,3.032942013534941
"french fries, ground beef",2,104,0.01386481802426343,0.8256519134578139
"green tea, ground beef",2,111,0.014798026929742702,1.1399898954908971
"eggs, ground beef",2,150,0.019997333688841486,1.1325386823637411
"milk, ground beef",2,165,0.021997067057725635,1.7277040722314354
"chocolate, ground beef",2,173,0.023063591521130515,1.4326691124597442
"spaghetti, ground beef",2,294,0.03919477403012932,2.291162176033379
"mineral water, ground beef",2,307,0.040927876283162246,1.7475215442008991
"mineral water, french fries, ground beef",3,40,0.005332622317024397,1.3322179923522333
"spaghetti, french fries, ground beef",3,42,0.005599253432875617,1.915088865882146
"mineral water, green tea, ground beef",3,39,0.005199306759098787,1.6803288390925066
"spaghetti, green tea, ground beef",3,48,0.006399146780429276,2.831361021837579
"eggs, milk, ground beef",3,44,0.005865884548726837,2.563700938834421
"eggs, chocolate, ground beef",3,49,0.006532462338354886,2.25800629326884
"eggs, spaghetti, ground beef",3,67,0.008932142381015865,2.9054444511459843
"mineral water, eggs, ground beef",3,76,0.010131982402346354,2.407282333658434
"chocolate, milk, ground beef",3,46,0.0061325156645780565,2.9397508657305416
"spaghetti, milk, ground beef",3,73,0.009732035728569524,4.3901995542437415
"mineral water, milk, ground beef",3,83,0.011065191307825623,3.645987337814602
"mineral water, spaghetti, milk, ground beef",4,33,0.004399413411545127,8.32581951411707
"spaghetti, chocolate, ground beef",3,69,0.009198773496867084,3.2818964488783533
"mineral water, chocolate, ground beef",3,82,0.010931875749900012,2.84882189235224
"mineral water, spaghetti, ground beef",3,128,0.017064391414478068,4.184755813036601
"green tea, milk",2,132,0.01759765364618051,1.027905470219631
"french fries, milk",2,178,0.023730169310758567,1.0714819950822727
"eggs, milk",2,231,0.03079589388081589,1.322436989412756
"chocolate, milk",2,241,0.03212904946007199,1.5132757067708698
"spaghetti, milk",2,266,0.03546193840821224,1.57177855922964
"mineral water, milk",2,360,0.04799360085321957,1.5537741320739085
"chocolate, green tea, milk",3,35,0.004666044527396347,1.6634684679840153
"spaghetti, green tea, milk",3,39,0.005199306759098787,1.7442946212850985
"mineral water, green tea, milk",3,43,0.005732568990801226,1.4047510087496207
"spaghetti, french fries, milk",3,48,0.006399146780429276,1.6595185116462572
"eggs, french fries, milk",3,54,0.007199040127982935,1.8087890009171088
"french fries, chocolate, milk",3,55,0.007332355685908546,2.0206674581562014
"mineral water, french fries, milk",3,62,0.008265564591387815,1.5656987896744585
"eggs, spaghetti, milk",3,67,0.008932142381015865,2.2029964614141875
"eggs, chocolate, milk",3,69,0.009198773496867084,2.4109010252708556
"mineral water, eggs, milk",3,98,0.013064924676709772,2.3536437869668356
"mineral water, eggs, spaghetti, milk",4,33,0.004399413411545127,4.5520244672880406
"mineral water, eggs, chocolate, milk",4,31,0.0041327822956939075,4.544055590468319
"spaghetti, chocolate, milk",3,82,0.010931875749900012,2.957269189352812
"mineral water, chocolate, milk",3,105,0.013998133582189041,2.765934986194898
"mineral water, spaghetti, chocolate, milk",4,37,0.004932675643247567,5.597967609301929
"mineral water, spaghetti, milk",3,118,0.01573123583522197,2.925117943323537
"chocolate, green tea",2,176,0.023463538194907346,1.0839426276685449
"eggs, green tea",2,191,0.025463271563791495,1.0724794665341186
"spaghetti, green tea",2,199,0.026529796027196375,1.153334837426579
"french fries, green tea",2,214,0.028529529396080524,1.263488400282732
"mineral water, green tea",2,233,0.03106252499666711,0.9863565151238103
"french fries, chocolate, green tea",3,39,0.005199306759098787,1.4053657830251407
"eggs, chocolate, green tea",3,41,0.005465937874950006,1.40509846091774
"mineral water, chocolate, green tea",3,52,0.006932409012131715,1.3435338805654211
"spaghetti, chocolate, green tea",3,53,0.007065724570057326,1.8747591685990928
"eggs, spaghetti, green tea",3,43,0.005732568990801226,1.3867560296589811
"mineral water, eggs, green tea",3,52,0.006932409012131715,1.224928144818177
"eggs, french fries, green tea",3,53,0.007065724570057326,1.7412560109736852
"spaghetti, french fries, green tea",3,40,0.005332622317024397,1.3564177542214615
"mineral water, spaghetti, green tea",3,62,0.008265564591387815,1.5074595746160324
"mineral water, french fries, green tea",3,46,0.0061325156645780565,1.1393757410879268
"eggs, chocolate",2,249,0.03319557392347687,1.1273966434316094
"french fries, chocolate",2,258,0.03439541394480736,1.2282844771886887
"spaghetti, chocolate",2,294,0.03919477403012932,1.373951605969569
"mineral water, chocolate",2,395,0.05265964538061592,1.348332068231752
"eggs, french fries, chocolate",3,63,0.008398880149313425,1.6689721131326294
"eggs, spaghetti, chocolate",3,79,0.010531929076123183,2.054378541941302
"mineral water, eggs, chocolate",3,101,0.013464871350486601,1.9184496924171646
"mineral water, eggs, spaghetti, chocolate",4,34,0.004532728969470737,3.7092315653262107
"spaghetti, french fries, chocolate",3,60,0.007998933475536596,1.6406143137918654
"mineral water, french fries, chocolate",3,64,0.008532195707239034,1.2782355220356008
"mineral water, spaghetti, chocolate",3,119,0.01586455139314758,2.3330428643126337
"spaghetti, french fries",2,207,0.027596320490601255,0.9273812453263829
"mineral water, french fries",2,253,0.03372883615517931,0.8279119419810351
"eggs, french fries",2,273,0.036395147313691506,1.1849605586597352
"eggs, spaghetti, french fries",3,60,0.007998933475536596,1.4957826347553431
"mineral water, spaghetti, french fries",3,76,0.010131982402346354,1.428411067910285
"mineral water, eggs, french fries",3,52,0.006932409012131715,0.9468828326948623
"eggs, spaghetti",2,274,0.036528462871617116,1.1674456173515524
"mineral water, spaghetti",2,448,0.05972536995067324,1.439085137945329
"mineral water, eggs, spaghetti",3,107,0.014264764698040262,1.912588433444532
"mineral water, eggs",2,382,0.05092654312758299,1.1888446882945318
